Season,TeamID,adj_o,adj_d,luck,rank,adj_em
2011,1135,100.6,108.6,-0.028999999999999998,244,0.2932
2011,1229,94.1,101.7,-0.008,245,0.2915
2011,1132,95.7,104.0,0.017,246,0.2783
2011,1132,95.7,104.0,0.017,246,0.2783
2011,1132,95.7,104.0,0.017,246,0.2783
2011,1132,95.7,104.0,0.017,246,0.2783
2011,1426,95.3,103.7,-0.07200000000000001,247,0.2745
2011,1426,95.3,103.7,-0.07200000000000001,247,0.2745
2011,1426,95.3,103.7,-0.07200000000000001,247,0.2745
2011,1426,95.3,103.7,-0.07200000000000001,247,0.2745
2011,1381,98.6,107.6,-0.013999999999999999,248,0.2693
2011,1381,98.6,107.6,-0.013999999999999999,248,0.2693
2011,1381,98.6,107.6,-0.013999999999999999,248,0.2693
2011,1381,98.6,107.6,-0.013999999999999999,248,0.2693
2011,1288,92.6,101.1,0.054000000000000006,249,0.2688
2011,1256,91.9,100.3,-0.006,250,0.2687
2011,1256,91.9,100.3,-0.006,250,0.2687
2011,1256,91.9,100.3,-0.006,250,0.2687
2011,1256,91.9,100.3,-0.006,250,0.2687
2011,1430,98.6,107.6,0.031,251,0.2672
2011,1430,98.6,107.6,0.031,251,0.2672
2011,1430,98.6,107.6,0.031,251,0.2672
2011,1430,98.6,107.6,0.031,251,0.2672
2011,1448,97.8,106.7,0.009000000000000001,252,0.2668
2011,1448,97.8,106.7,0.009000000000000001,252,0.2668
2011,1448,97.8,106.7,0.009000000000000001,252,0.2668
2011,1448,97.8,106.7,0.009000000000000001,252,0.2668
2011,1164,98.1,107.2,0.022000000000000002,253,0.2646
2011,1464,98.1,107.3,-0.024,254,0.2623
2011,1286,97.7,107.1,0.006,255,0.2571
2011,1368,96.4,105.9,0.067,256,0.2533
2011,1368,96.4,105.9,0.067,256,0.2533
2011,1368,96.4,105.9,0.067,256,0.2533
2011,1368,96.4,105.9,0.067,256,0.2533
2011,1322,99.0,108.8,0.1,257,0.2521
2011,1168,102.1,112.2,0.018000000000000002,258,0.2518
2011,1186,97.1,106.8,-0.032,259,0.2512
2011,1186,97.1,106.8,-0.032,259,0.2512
2011,1186,97.1,106.8,-0.032,259,0.2512
2011,1186,97.1,106.8,-0.032,259,0.2512
2011,1227,93.8,103.3,-0.040999999999999995,260,0.2478
2011,1144,94.9,104.7,-0.06,261,0.2444
2011,1342,98.1,108.4,0.046,262,0.2421
2011,1370,91.2,101.1,0.046,263,0.2345
2011,1357,97.2,107.9,-0.013000000000000001,264,0.2312
2011,1357,97.2,107.9,-0.013000000000000001,264,0.2312
2011,1357,97.2,107.9,-0.013000000000000001,264,0.2312
2011,1357,97.2,107.9,-0.013000000000000001,264,0.2312
2011,1340,101.6,113.0,0.065,265,0.2278
2011,1406,104.1,115.9,-0.07,266,0.2258
2011,1291,91.6,102.0,-0.02,267,0.2241
2011,1415,95.6,106.5,0.068,268,0.224
2011,1415,95.6,106.5,0.068,268,0.224
2011,1415,95.6,106.5,0.068,268,0.224
2011,1415,95.6,106.5,0.068,268,0.224
2011,1205,92.5,103.1,-0.016,269,0.2236
2011,1205,92.5,103.1,-0.016,269,0.2236
2011,1205,92.5,103.1,-0.016,269,0.2236
2011,1205,92.5,103.1,-0.016,269,0.2236
